N,quadrant,species,specimen
1.385425083,UR,A. rupestris,Arup_2
0.685940808,UR,A. rupestris,Arup_2
4.514740713,UR,A. rupestris,Arup_2
5.315256702,UL,A. rupestris,Arup_2
4.796848875,UL,A. rupestris,Arup_2
0.727522488,UR,A. rupestris,Arup_2
1.096775652,UR,A. rupestris,Arup_2
1.730611869,UR,A. rupestris,Arup_2
2.235956772,UR,A. rupestris,Arup_2
2.680763064,UR,A. rupestris,Arup_2
2.220775536,UR,A. rupestris,Arup_2
4.449180918,UR,A. rupestris,Arup_2
7.73174073,UL,A. rupestris,Arup_2
4.746117264,UL,A. rupestris,Arup_2
5.938393482,UL,A. rupestris,Arup_2
5.66364057,UL,A. rupestris,Arup_2
6.271252869,UL,A. rupestris,Arup_2
4.935598311,UL,A. rupestris,Arup_2
5.419622796,UL,A. rupestris,Arup_2
0.819433692,UR,A. rupestris,Arup_2
1.333683351,UR,A. rupestris,Arup_2
2.497568304,UR,A. rupestris,Arup_2
2.612643642,UR,A. rupestris,Arup_2
2.626736301,UR,A. rupestris,Arup_2
2.727542454,UR,A. rupestris,Arup_2
7.755130425,UR,A. rupestris,Arup_2
7.924565964,UL,A. rupestris,Arup_2
7.729720488,UL,A. rupestris,Arup_2
10.20486018,UL,A. rupestris,Arup_2
6.672074766,UL,A. rupestris,Arup_2
6.120735033,UL,A. rupestris,Arup_2
8.112723066,UL,A. rupestris,Arup_2
6.874883526,UL,A. rupestris,Arup_2
0.887553114,UR,A. rupestris,Arup_2
1.475610255,UR,A. rupestris,Arup_2
2.45694771,UR,A. rupestris,Arup_2
2.656412283,UR,A. rupestris,Arup_2
2.663571393,UR,A. rupestris,Arup_2
5.53771869,UR,A. rupestris,Arup_2
9.044319417,UL,A. rupestris,Arup_2
8.537719218,UL,A. rupestris,Arup_2
9.531354651,UL,A. rupestris,Arup_2
7.846904331,UL,A. rupestris,Arup_2
7.877306031,UL,A. rupestris,Arup_2
7.368156012,UL,A. rupestris,Arup_2
5.243459655,UL,A. rupestris,Arup_2
1.619223963,LR,A. rupestris,Arup_2
2.482847997,LR,A. rupestris,Arup_2
2.374107981,LR,A. rupestris,Arup_2
2.648939349,LR,A. rupestris,Arup_2
6.864988263,LR,A. rupestris,Arup_2
7.702427607,LL,A. rupestris,Arup_2
7.252345149,LL,A. rupestris,Arup_2
8.653481046,LL,A. rupestris,Arup_2
7.363301547,LL,A. rupestris,Arup_2
6.424379367,LL,A. rupestris,Arup_2
6.802213656,LL,A. rupestris,Arup_2
5.940041058,LL,A. rupestris,Arup_2
2.56737453,LR,A. rupestris,Arup_2
2.668082613,LR,A. rupestris,Arup_2
3.427438623,LR,A. rupestris,Arup_2
5.426007153,LR,A. rupestris,Arup_2
8.966697012,LL,A. rupestris,Arup_2
8.118499389,LL,A. rupestris,Arup_2
8.409090606,LL,A. rupestris,Arup_2
5.529108144,LL,A. rupestris,Arup_2
6.050448264,LL,A. rupestris,Arup_2
1.423044735,LR,A. rupestris,Arup_2
3.234711459,LR,A. rupestris,Arup_2
2.100139629,LR,A. rupestris,Arup_2
5.30078157,LR,A. rupestris,Arup_2
7.705546233,LL,A. rupestris,Arup_2
6.63580848,LL,A. rupestris,Arup_2
6.667946019,LL,A. rupestris,Arup_2
2.465793624,LR,A. rupestris,Arup_2
2.703417234,LR,A. rupestris,Arup_2
4.265250633,LR,A. rupestris,Arup_2
6.379826166,LL,A. rupestris,Arup_2
6.758896137,LL,A. rupestris,Arup_2
4.53740469,LR,A. rupestris,Arup_2
7.792867761,LL,A. rupestris,Arup_2
2.806331892,UR,A. rupestris,Arup_3
4.134013359,UR,A. rupestris,Arup_3
3.062716293,UR,A. rupestris,Arup_3
2.888387061,UR,A. rupestris,Arup_3
5.094265764,UR,A. rupestris,Arup_3
5.544946449,UR,A. rupestris,Arup_3
4.437981324,UR,A. rupestris,Arup_3
3.879001938,UR,A. rupestris,Arup_3
5.399469411,UR,A. rupestris,Arup_3
3.131267223,UR,A. rupestris,Arup_3
4.264524915,UR,A. rupestris,Arup_3
6.974571681,UR,A. rupestris,Arup_3
5.304272862,UL,A. rupestris,Arup_3
3.878403711,UL,A. rupestris,Arup_3
5.211949764,UL,A. rupestris,Arup_3
5.369018676,UR,A. rupestris,Arup_3
4.003923504,UR,A. rupestris,Arup_3
7.310412396,UR,A. rupestris,Arup_3
8.075407431,UR,A. rupestris,Arup_3
7.967520624,UR,A. rupestris,Arup_3
9.516242064,UR,A. rupestris,Arup_3
6.230593047,UL,A. rupestris,Arup_3
7.236732405,UL,A. rupestris,Arup_3
6.82125885,UL,A. rupestris,Arup_3
6.528196269,UL,A. rupestris,Arup_3
5.391368829,UR,A. rupestris,Arup_3
7.292279253,UR,A. rupestris,Arup_3
8.032403736,UR,A. rupestris,Arup_3
5.836420296,UR,A. rupestris,Arup_3
7.583782521,UR,A. rupestris,Arup_3
9.030256179,UR,A. rupestris,Arup_3
4.227934998,UL,A. rupestris,Arup_3
5.080163298,UL,A. rupestris,Arup_3
5.9087175,UL,A. rupestris,Arup_3
8.231789853,UL,A. rupestris,Arup_3
7.301664552,UL,A. rupestris,Arup_3
6.876256506,UL,A. rupestris,Arup_3
6.80184099,UL,A. rupestris,Arup_3
8.129257668,LR,A. rupestris,Arup_3
7.923977544,LR,A. rupestris,Arup_3
8.68439271,LR,A. rupestris,Arup_3
9.79209336,LR,A. rupestris,Arup_3
10.04322121,LR,A. rupestris,Arup_3
9.536571975,LL,A. rupestris,Arup_3
8.457399888,LL,A. rupestris,Arup_3
8.127109935,LL,A. rupestris,Arup_3
9.786925071,LL,A. rupestris,Arup_3
5.661031908,LL,A. rupestris,Arup_3
8.502364983,LL,A. rupestris,Arup_3
4.51582929,LL,A. rupestris,Arup_3
6.755002758,LR,A. rupestris,Arup_3
7.980201075,LR,A. rupestris,Arup_3
6.857211312,LR,A. rupestris,Arup_3
8.789847381,LR,A. rupestris,Arup_3
9.005846556,LR,A. rupestris,Arup_3
8.363478249,LL,A. rupestris,Arup_3
9.594139065,LL,A. rupestris,Arup_3
7.282295727,LL,A. rupestris,Arup_3
7.633190187,LL,A. rupestris,Arup_3
8.123579415,LL,A. rupestris,Arup_3
7.565649378,LL,A. rupestris,Arup_3
6.352170426,LR,A. rupestris,Arup_3
7.085616342,LR,A. rupestris,Arup_3
6.043848153,LR,A. rupestris,Arup_3
7.145507691,LR,A. rupestris,Arup_3
9.949348605,LR,A. rupestris,Arup_3
8.180087349,LL,A. rupestris,Arup_3
7.49764764,LL,A. rupestris,Arup_3
8.007493956,LL,A. rupestris,Arup_3
4.898920131,LL,A. rupestris,Arup_3
6.511573404,LR,A. rupestris,Arup_3
6.837881715,LR,A. rupestris,Arup_3
4.389162078,LR,A. rupestris,Arup_3
6.838381872,LR,A. rupestris,Arup_3
8.75353206,LR,A. rupestris,Arup_3
4.53926802,LL,A. rupestris,Arup_3
7.308068523,LL,A. rupestris,Arup_3
8.233849323,LL,A. rupestris,Arup_3
2.638543929,UR,A. rupestris,Arup_4
3.37694238,UR,A. rupestris,Arup_4
4.403686245,UR,A. rupestris,Arup_4
3.787188804,UR,A. rupestris,Arup_4
4.066747146,UR,A. rupestris,Arup_4
5.280961623,UR,A. rupestris,Arup_4
4.694091129,UR,A. rupestris,Arup_4
7.136534286,UL,A. rupestris,Arup_4
6.427037064,UL,A. rupestris,Arup_4
6.310039554,UL,A. rupestris,Arup_4
2.417827587,UR,A. rupestris,Arup_4
2.341587969,UR,A. rupestris,Arup_4
4.971227142,UR,A. rupestris,Arup_4
5.797721874,UR,A. rupestris,Arup_4
5.058097548,UR,A. rupestris,Arup_4
6.899744271,UR,A. rupestris,Arup_4
6.244097286,UR,A. rupestris,Arup_4
7.219236717,UR,A. rupestris,Arup_4
7.627060812,UR,A. rupestris,Arup_4
7.528647567,UL,A. rupestris,Arup_4
5.318649924,UL,A. rupestris,Arup_4
8.713745061,UL,A. rupestris,Arup_4
6.680812803,UL,A. rupestris,Arup_4
7.425899628,UL,A. rupestris,Arup_4
8.747402685,UL,A. rupestris,Arup_4
5.545132782,UL,A. rupestris,Arup_4
6.094864167,UL,A. rupestris,Arup_4
4.459272321,UR,A. rupestris,Arup_4
6.501629106,UR,A. rupestris,Arup_4
4.305135702,UR,A. rupestris,Arup_4
4.940040882,UR,A. rupestris,Arup_4
6.703898481,UR,A. rupestris,Arup_4
6.858672555,UR,A. rupestris,Arup_4
7.111075314,UR,A. rupestris,Arup_4
6.966373029,UR,A. rupestris,Arup_4
7.613183907,UL,A. rupestris,Arup_4
8.713833324,UL,A. rupestris,Arup_4
9.646518252,UL,A. rupestris,Arup_4
8.645468727,UL,A. rupestris,Arup_4
10.16740725,UL,A. rupestris,Arup_4
7.896959259,UL,A. rupestris,Arup_4
5.771301816,UL,A. rupestris,Arup_4
5.348463204,UL,A. rupestris,Arup_4
4.800653991,UR,A. rupestris,Arup_4
8.450672286,UR,A. rupestris,Arup_4
6.389397798,UR,A. rupestris,Arup_4
6.843334407,UR,A. rupestris,Arup_4
6.538219023,UR,A. rupestris,Arup_4
9.127796601,UR,A. rupestris,Arup_4
12.60302474,UR,A. rupestris,Arup_4
9.458223852,UL,A. rupestris,Arup_4
11.94092474,UL,A. rupestris,Arup_4
10.50983827,UL,A. rupestris,Arup_4
10.61543024,UL,A. rupestris,Arup_4
8.284992828,UL,A. rupestris,Arup_4
4.14335943,UL,A. rupestris,Arup_4
9.984967629,UL,A. rupestris,Arup_4
6.892281144,LR,A. rupestris,Arup_4
9.152157189,LR,A. rupestris,Arup_4
6.892928406,LR,A. rupestris,Arup_4
5.395164138,LR,A. rupestris,Arup_4
9.836646561,LR,A. rupestris,Arup_4
11.02495094,LR,A. rupestris,Arup_4
11.81975926,LL,A. rupestris,Arup_4
9.973983789,LL,A. rupestris,Arup_4
7.162866081,LL,A. rupestris,Arup_4
10.39284076,LL,A. rupestris,Arup_4
7.967157765,LL,A. rupestris,Arup_4
6.533639154,LL,A. rupestris,Arup_4
7.466284854,LR,A. rupestris,Arup_4
8.023753962,LR,A. rupestris,Arup_4
7.181460153,LR,A. rupestris,Arup_4
9.631317402,LR,A. rupestris,Arup_4
9.606319359,LR,A. rupestris,Arup_4
7.70261394,LR,A. rupestris,Arup_4
10.66795653,LL,A. rupestris,Arup_4
10.25889675,LL,A. rupestris,Arup_4
8.419986183,LL,A. rupestris,Arup_4
7.145193867,LL,A. rupestris,Arup_4
5.740341117,LL,A. rupestris,Arup_4
7.133013573,LR,A. rupestris,Arup_4
6.419524902,LR,A. rupestris,Arup_4
7.622892837,LR,A. rupestris,Arup_4
10.45736101,LR,A. rupestris,Arup_4
12.82602611,LR,A. rupestris,Arup_4
7.779863679,LL,A. rupestris,Arup_4
9.803449866,LL,A. rupestris,Arup_4
7.30170378,LL,A. rupestris,Arup_4
6.670142787,LL,A. rupestris,Arup_4
8.074946502,LR,A. rupestris,Arup_4
8.41087548,LR,A. rupestris,Arup_4
5.87135283,LR,A. rupestris,Arup_4
9.686501391,LR,A. rupestris,Arup_4
9.45914571,LL,A. rupestris,Arup_4
10.76104457,LL,A. rupestris,Arup_4
5.341362936,LL,A. rupestris,Arup_4
6.45163302,LR,A. rupestris,Arup_4
6.017016201,LR,A. rupestris,Arup_4
5.621146839,LR,A. rupestris,Arup_4
6.317414418,LR,A. rupestris,Arup_4
5.823180846,LL,A. rupestris,Arup_4
5.498794707,LL,A. rupestris,Arup_4
1.211900025,UR,L. gibbosus,Lgib_1
2.877648396,UR,L. gibbosus,Lgib_1
2.864516823,UR,L. gibbosus,Lgib_1
3.835694226,UR,L. gibbosus,Lgib_1
1.772448531,UR,L. gibbosus,Lgib_1
3.417553167,UR,L. gibbosus,Lgib_1
2.922917508,UR,L. gibbosus,Lgib_1
2.156216055,UR,L. gibbosus,Lgib_1
1.644231813,UL,L. gibbosus,Lgib_1
2.133552078,UL,L. gibbosus,Lgib_1
3.20012217,UR,L. gibbosus,Lgib_1
3.036306042,UR,L. gibbosus,Lgib_1
5.278107786,UR,L. gibbosus,Lgib_1
4.502383893,UR,L. gibbosus,Lgib_1
3.788267574,UL,L. gibbosus,Lgib_1
2.654548953,UL,L. gibbosus,Lgib_1
2.440599441,UL,L. gibbosus,Lgib_1
2.171093274,UL,L. gibbosus,Lgib_1
5.824553826,UR,L. gibbosus,Lgib_1
7.82981073,UR,L. gibbosus,Lgib_1
5.39012334,UR,L. gibbosus,Lgib_1
5.310019764,UR,L. gibbosus,Lgib_1
5.808215364,UL,L. gibbosus,Lgib_1
5.11405629,UL,L. gibbosus,Lgib_1
4.221285852,UL,L. gibbosus,Lgib_1
5.003148927,UL,L. gibbosus,Lgib_1
3.527685777,UL,L. gibbosus,Lgib_1
1.784756316,UL,L. gibbosus,Lgib_1
5.850189324,LR,L. gibbosus,Lgib_1
5.497686516,LR,L. gibbosus,Lgib_1
5.449720479,LR,L. gibbosus,Lgib_1
4.686353406,LL,L. gibbosus,Lgib_1
4.677929193,LL,L. gibbosus,Lgib_1
2.980092318,LL,L. gibbosus,Lgib_1
5.337116505,LL,L. gibbosus,Lgib_1
4.576171761,LL,L. gibbosus,Lgib_1
4.054949325,LL,L. gibbosus,Lgib_1
3.835507893,LL,L. gibbosus,Lgib_1
1.100168874,LR,L. gibbosus,Lgib_1
3.838391151,LR,L. gibbosus,Lgib_1
4.169524506,LR,L. gibbosus,Lgib_1
5.380090779,LL,L. gibbosus,Lgib_1
3.922888263,LL,L. gibbosus,Lgib_1
3.47481624,LL,L. gibbosus,Lgib_1
3.383130597,LL,L. gibbosus,Lgib_1
6.266457246,LR,L. gibbosus,Lgib_1
3.337724187,LR,L. gibbosus,Lgib_1
5.168024211,LL,L. gibbosus,Lgib_1
4.388544237,LL,L. gibbosus,Lgib_1
2.531696664,LL,L. gibbosus,Lgib_1
4.227052368,LR,L. gibbosus,Lgib_1
4.444208769,LR,L. gibbosus,Lgib_1
1.390877775,UR,L. gibbosus,Lgib_2
1.653979971,UR,L. gibbosus,Lgib_2
1.848109536,UR,L. gibbosus,Lgib_2
1.735368264,UR,L. gibbosus,Lgib_2
1.731474885,UR,L. gibbosus,Lgib_2
1.568521773,UR,L. gibbosus,Lgib_2
1.688451576,UR,L. gibbosus,Lgib_2
2.018064846,UR,L. gibbosus,Lgib_2
1.943825856,UR,L. gibbosus,Lgib_2
1.717519524,UR,L. gibbosus,Lgib_2
1.762563075,UL,L. gibbosus,Lgib_2
1.509660159,UL,L. gibbosus,Lgib_2
1.897870254,UR,L. gibbosus,Lgib_2
2.541533085,UR,L. gibbosus,Lgib_2
3.052458171,UR,L. gibbosus,Lgib_2
2.603101431,UR,L. gibbosus,Lgib_2
2.369331972,UR,L. gibbosus,Lgib_2
2.46724506,UL,L. gibbosus,Lgib_2
2.233436373,UL,L. gibbosus,Lgib_2
1.849119657,UL,L. gibbosus,Lgib_2
2.809862412,UR,L. gibbosus,Lgib_2
2.161109748,UR,L. gibbosus,Lgib_2
2.77489065,UR,L. gibbosus,Lgib_2
4.33989171,UR,L. gibbosus,Lgib_2
3.593500554,UL,L. gibbosus,Lgib_2
2.864516823,UL,L. gibbosus,Lgib_2
3.015701535,UL,L. gibbosus,Lgib_2
4.077015075,UL,L. gibbosus,Lgib_2
2.400959547,UL,L. gibbosus,Lgib_2
2.613398781,UL,L. gibbosus,Lgib_2
1.711753008,LR,L. gibbosus,Lgib_2
3.352689669,LR,L. gibbosus,Lgib_2
2.962557402,LR,L. gibbosus,Lgib_2
3.718647681,LR,L. gibbosus,Lgib_2
2.843961351,LL,L. gibbosus,Lgib_2
3.602709327,LL,L. gibbosus,Lgib_2
3.778382118,LL,L. gibbosus,Lgib_2
4.945562223,LL,L. gibbosus,Lgib_2
3.350904795,LL,L. gibbosus,Lgib_2
2.745185247,LL,L. gibbosus,Lgib_2
1.711753008,LR,L. gibbosus,Lgib_2
2.000951631,LR,L. gibbosus,Lgib_2
1.825543629,LR,L. gibbosus,Lgib_2
2.167523526,LR,L. gibbosus,Lgib_2
2.808391362,LL,L. gibbosus,Lgib_2
3.216058545,LL,L. gibbosus,Lgib_2
2.764681563,LL,L. gibbosus,Lgib_2
2.147379948,LR,L. gibbosus,Lgib_2
2.480837562,LR,L. gibbosus,Lgib_2
3.400979337,LR,L. gibbosus,Lgib_2
3.13068861,LL,L. gibbosus,Lgib_2
2.483495259,LL,L. gibbosus,Lgib_2
2.056017936,LR,L. gibbosus,Lgib_2
1.812774915,UR,L. gibbosus,Lgib_3
2.125912425,UR,L. gibbosus,Lgib_3
2.478591759,UR,L. gibbosus,Lgib_3
1.669592715,UR,L. gibbosus,Lgib_3
1.381992633,UL,L. gibbosus,Lgib_3
1.765122702,UR,L. gibbosus,Lgib_3
2.474659152,UR,L. gibbosus,Lgib_3
2.370704952,UR,L. gibbosus,Lgib_3
2.852424792,UR,L. gibbosus,Lgib_3
2.517917829,UR,L. gibbosus,Lgib_3
2.227895418,UR,L. gibbosus,Lgib_3
3.537159339,UL,L. gibbosus,Lgib_3
1.931508264,UL,L. gibbosus,Lgib_3
1.677555999,UL,L. gibbosus,Lgib_3
2.311794303,UR,L. gibbosus,Lgib_3
3.490968369,UR,L. gibbosus,Lgib_3
3.324582807,UR,L. gibbosus,Lgib_3
3.81060792,UR,L. gibbosus,Lgib_3
3.566590146,UR,L. gibbosus,Lgib_3
3.780627921,UL,L. gibbosus,Lgib_3
3.230749431,UL,L. gibbosus,Lgib_3
1.524723711,UL,L. gibbosus,Lgib_3
1.743429618,UL,L. gibbosus,Lgib_3
3.012916347,UL,L. gibbosus,Lgib_3
2.701465641,UL,L. gibbosus,Lgib_3
5.75141322,LR,L. gibbosus,Lgib_3
4.125481269,LR,L. gibbosus,Lgib_3
4.310912025,LR,L. gibbosus,Lgib_3
4.64479134,LL,L. gibbosus,Lgib_3
4.711841799,LL,L. gibbosus,Lgib_3
3.992969085,LL,L. gibbosus,Lgib_3
4.077878091,LL,L. gibbosus,Lgib_3
2.821581777,LL,L. gibbosus,Lgib_3
3.740026941,LL,L. gibbosus,Lgib_3
2.946993693,LL,L. gibbosus,Lgib_3
3.866772609,LR,L. gibbosus,Lgib_3
2.614585428,LR,L. gibbosus,Lgib_3
3.600002595,LR,L. gibbosus,Lgib_3
3.491203737,LL,L. gibbosus,Lgib_3
3.825073245,LL,L. gibbosus,Lgib_3
2.853846807,LL,L. gibbosus,Lgib_3
3.320964024,LL,L. gibbosus,Lgib_3
3.687569298,LL,L. gibbosus,Lgib_3
3.484476135,LR,L. gibbosus,Lgib_3
3.75000066,LR,L. gibbosus,Lgib_3
3.569424369,LL,L. gibbosus,Lgib_3
3.571895733,LL,L. gibbosus,Lgib_3
2.063059362,LL,L. gibbosus,Lgib_3
0.92499624,LL,L. gibbosus,Lgib_3
3.906824397,LR,L. gibbosus,Lgib_3
3.548741406,LR,L. gibbosus,Lgib_3
4.087037829,LL,L. gibbosus,Lgib_3
3.224021829,LL,L. gibbosus,Lgib_3
2.486329482,UR,L. gibbosus,Lgib_4
2.184087549,UR,L. gibbosus,Lgib_4
2.05564527,UR,L. gibbosus,Lgib_4
2.159138541,UR,L. gibbosus,Lgib_4
2.485642992,UR,L. gibbosus,Lgib_4
3.908834832,UR,L. gibbosus,Lgib_4
3.070728612,UR,L. gibbosus,Lgib_4
4.032334383,UR,L. gibbosus,Lgib_4
3.619871577,UL,L. gibbosus,Lgib_4
3.512710488,UL,L. gibbosus,Lgib_4
3.240634887,UL,L. gibbosus,Lgib_4
2.111908029,UR,L. gibbosus,Lgib_4
3.809323203,UR,L. gibbosus,Lgib_4
3.678144771,UR,L. gibbosus,Lgib_4
3.704868846,UR,L. gibbosus,Lgib_4
4.031785191,UR,L. gibbosus,Lgib_4
3.984593907,UL,L. gibbosus,Lgib_4
4.359338991,UL,L. gibbosus,Lgib_4
5.024842011,UL,L. gibbosus,Lgib_4
3.75421767,UL,L. gibbosus,Lgib_4
4.312059444,UL,L. gibbosus,Lgib_4
3.933332718,UL,L. gibbosus,Lgib_4
4.783619232,UL,L. gibbosus,Lgib_4
3.491703894,UR,L. gibbosus,Lgib_4
2.603974254,UR,L. gibbosus,Lgib_4
5.09552106,UR,L. gibbosus,Lgib_4
4.062137856,UR,L. gibbosus,Lgib_4
3.984593907,UL,L. gibbosus,Lgib_4
3.284580054,UL,L. gibbosus,Lgib_4
4.695728898,UL,L. gibbosus,Lgib_4
5.083801695,UL,L. gibbosus,Lgib_4
4.153862727,UL,L. gibbosus,Lgib_4
4.608534861,UL,L. gibbosus,Lgib_4
2.80921515,UL,L. gibbosus,Lgib_4
3.491703894,LR,L. gibbosus,Lgib_4
3.849973218,LR,L. gibbosus,Lgib_4
3.347884239,LR,L. gibbosus,Lgib_4
2.887259256,LR,L. gibbosus,Lgib_4
4.703839287,LL,L. gibbosus,Lgib_4
3.692188395,LL,L. gibbosus,Lgib_4
5.366360979,LL,L. gibbosus,Lgib_4
4.091980557,LL,L. gibbosus,Lgib_4
4.52838225,LL,L. gibbosus,Lgib_4
2.260484079,LR,L. gibbosus,Lgib_4
3.20286813,LR,L. gibbosus,Lgib_4
3.942296316,LR,L. gibbosus,Lgib_4
3.043484766,LL,L. gibbosus,Lgib_4
3.462498648,LL,L. gibbosus,Lgib_4
4.273841565,LL,L. gibbosus,Lgib_4
4.023360978,LL,L. gibbosus,Lgib_4
3.74313576,LR,L. gibbosus,Lgib_4
3.690540819,LR,L. gibbosus,Lgib_4
3.500765562,LL,L. gibbosus,Lgib_4
4.192865166,LL,L. gibbosus,Lgib_4
4.833605511,LR,L. gibbosus,Lgib_4
1.689961854,UR,L. gibbosus,Lgib_5
1.839234201,UR,L. gibbosus,Lgib_5
1.298319309,UR,L. gibbosus,Lgib_5
1.782147654,UR,L. gibbosus,Lgib_5
1.772723127,UL,L. gibbosus,Lgib_5
1.778077749,UR,L. gibbosus,Lgib_5
1.582810572,UR,L. gibbosus,Lgib_5
2.970795282,UR,L. gibbosus,Lgib_5
2.719598784,UR,L. gibbosus,Lgib_5
3.325779261,UR,L. gibbosus,Lgib_5
2.597011284,UR,L. gibbosus,Lgib_5
1.798584186,UL,L. gibbosus,Lgib_5
1.781186568,UL,L. gibbosus,Lgib_5
1.39014225,UL,L. gibbosus,Lgib_5
3.5766129,UR,L. gibbosus,Lgib_5
4.564001274,UR,L. gibbosus,Lgib_5
4.153499868,UR,L. gibbosus,Lgib_5
3.563344029,UR,L. gibbosus,Lgib_5
3.874598595,UL,L. gibbosus,Lgib_5
1.277538276,UL,L. gibbosus,Lgib_5
3.232171446,UL,L. gibbosus,Lgib_5
3.294926439,UL,L. gibbosus,Lgib_5
2.148390069,UL,L. gibbosus,Lgib_5
4.332291285,LR,L. gibbosus,Lgib_5
4.72383576,LR,L. gibbosus,Lgib_5
3.60828951,LR,L. gibbosus,Lgib_5
3.086282514,LL,L. gibbosus,Lgib_5
4.848659256,LL,L. gibbosus,Lgib_5
4.565236956,LL,L. gibbosus,Lgib_5
3.388573482,LL,L. gibbosus,Lgib_5
3.664405164,LL,L. gibbosus,Lgib_5
3.930125829,LR,L. gibbosus,Lgib_5
1.759169853,LL,L. gibbosus,Lgib_5
3.813216582,LL,L. gibbosus,Lgib_5
3.629070543,LL,L. gibbosus,Lgib_5
3.653607657,LR,L. gibbosus,Lgib_5
